"Data from Steven Cook (steven.cook2@gmail.com), supported by the Emmons Lab, Albert Einstein College of Medicine",,,,
idx,pre,post,sections,type
1,ASJL,PVQL,2,chemical
2,ASJL,ASKL,2,chemical
3,AIAL,AIML,3,chemical
4,AIAL,ASJL,3,chemical
5,AIAL,ASKL,3,chemical
6,AVM,PVCL,1,chemical
7,AVM,PVCL,1,chemical
8,AVM,AVBL,1,chemical
9,AVM,PVNL,1,chemical
10,ASHR,ADAR,1,chemical
11,ASHR,AIAR,1,chemical
12,RIBR,AIZR,1,chemical
13,AIZL,RIAL,2,chemical
14,AIZL,SMBDL,2,chemical
15,AIZL,AIBR,1,chemical
16,AIZL,AVER,1,chemical
19,AVM,AVAL,1,chemical
21,RIML,AIBR,2,chemical
22,RIML,AVER,2,chemical
23,ASEL,AIYL,3,chemical
24,AIYL,RIAL,3,chemical
25,AIYL,RIBL,3,chemical
27,SDQL,RIS,3,chemical
28,SDQR,AVAL,1,chemical
29,SDQR,AIBL,1,chemical
30,AIYR,RIAR,3,chemical
31,AIYR,AIZR,3,chemical
32,AIYR,RIBR,3,chemical
33,AWAR,AIYR,3,chemical
34,AWAR,AIZR,3,chemical
35,AWAR,ADFR,3,chemical
36,ASER,AIYR,1,chemical
37,ASER,AIBR,2,chemical
38,ASER,AIYR,2,chemical
39,PVPR,PVCR,3,chemical
40,PVPR,AVBR,3,chemical
41,AIYR,RIAR,2,chemical
42,AIYR,AIZR,2,chemical
43,AIYR,RIBR,2,chemical
44,AIZR,RIAR,1,chemical
45,SDQL,RIS,2,chemical
46,SDQL,AIBR,2,chemical
47,SDQL,syn3,2,chemical
48,AIBR,RIML,3,chemical
49,AIBR,VB01,3,chemical
50,VB01,AIBR,1,chemical
51,VB01,RIML,1,chemical
56,RIH,RIBL,1,chemical
57,RIH,RIAL,1,chemical
58,ADFL,SMBVL,1,chemical
59,ADFL,RIAL,1,chemical
62,AFDR,AIYR,3,chemical
63,AIZR,RIAR,2,chemical
64,RIH,RIBL,2,chemical
65,RIH,RIAL,2,chemical
66,AWBL,RIAL,6,chemical
67,AWBL,ADFL,6,chemical
68,AWCL,AIYL,3,chemical
69,ASEL,AIYL,2,chemical
70,RIH,RIBL,1,chemical
71,RIH,RIAL,1,chemical
72,AIZL,RIAL,1,chemical
73,AIZL,SMBDL,1,chemical
76,AVJR,AVBL,3,chemical
77,PVPR,PVCR,2,chemical
78,PVPR,AVBR,2,chemical
79,AIYR,RIBR,1,chemical
80,AIYR,AIZR,1,chemical
81,AVHL,hyp,1,chemical
82,AVHL,AVJL,1,chemical
83,SDQR,AVAL,5,chemical
84,SDQR,AIBL,5,chemical
85,RICL,ADAR,1,chemical
86,RICL,RIMR,1,chemical
87,AIYR,RIAR,1,chemical
88,ADFL,AIZL,1,chemical
89,ADFL,RIAL,1,chemical
90,RIH,AIZL,1,chemical
97,HSNL,AVFR,2,chemical
98,HSNL,RIML,2,chemical
99,HSNL,AVFL,2,chemical
101,ASGL,AIAL,2,chemical
102,RIAL,vBWML14,1,chemical
106,AQR,DVA,3,chemical
107,AQR,AVBL,3,chemical
108,AQR,AVDL,3,chemical
109,PVPR,PVCR,1,chemical
112,ASGR,AIAR,4,chemical
113,ASER,AIBR,3,chemical
114,ASER,AIYR,3,chemical
115,AVHL,SMBVR,2,chemical
116,AVHL,SMBDR,2,chemical
117,AVHL,AWBR,2,chemical
118,ASHR,AIAR,3,chemical
119,ASHR,AIBR,3,chemical
120,AWAL,AFDL,2,chemical
121,AWAL,AFDL,1,chemical
122,DVA,SMBDL,2,chemical
123,DVA,SMBVL,2,chemical
129,SDQR,PVWL,10,chemical
130,SDQR,AVDR,10,chemical
131,SDQR,AVDL,10,chemical
133,SDQR,AVBR,10,chemical
139,RICR,RIML,6,chemical
140,RICR,VB01,6,chemical
141,RICR,AIZL,6,chemical
142,ADFL,SMBVL,1,chemical
143,ADFL,RIAL,1,chemical
144,AIZL,SMBVL,2,chemical
145,AIZL,SMBDL,2,chemical
147,ASHR,AIAR,1,chemical
148,ASJR,PVQR,3,chemical
149,AWCR,AIYR,3,chemical
150,AWCR,AIBR,3,chemical
151,ASER,AIBR,1,chemical
152,ASER,AIYR,1,chemical
153,DVA,SMBVR,2,chemical
154,DVA,SMBDR,2,chemical
155,ADFR,RIAR,3,chemical
156,ADFR,AIZR,3,chemical
157,ALA,AVEL,3,chemical
158,ALA,AVAR,3,chemical
159,FLPL,AVDL,19,chemical
160,FLPL,ADEL,19,chemical
161,AIAL,AIBL,1,chemical
162,AIAL,AIML,1,chemical
163,HSNL,AVFR,1,chemical
164,HSNL,RIFL,1,chemical
165,HSNL,AVFL,1,chemical
166,RIFL,AVJR,1,chemical
167,RIFL,AVBL,1,chemical
168,ALML,BDUL,3,chemical
169,ALML,PVCL,1,chemical
170,ALML,PVCL,1,chemical
171,ALML,PVCL,1,chemical
172,ASIL,AIYL,2,chemical
173,ASIL,AWCL,2,chemical
174,ASEL,AIYL,3,chemical
175,ASEL,AWCL,3,chemical
176,AWCL,AIBL,1,chemical
177,ADLL,AWCL,2,chemical
178,ADLL,AIBL,2,chemical
179,ADLL,ASGL,2,chemical
180,ASEL,AIYL,2,chemical
181,ASEL,AWCL,2,chemical
182,AWCR,AWCL,4,chemical
183,AWCR,AIYL,4,chemical
186,AWCR,sph,4,chemical
187,AFDL,AIYL,5,chemical
188,ADFL,RIAL,2,chemical
189,ADFL,AUAL,2,chemical
190,RIH,RIBL,3,chemical
191,RIH,RIAL,3,chemical
192,RIH,AIZL,3,chemical
193,AUAL,RIAL,2,chemical
194,AUAL,RIBL,2,chemical
195,ADFL,RIAL,2,chemical
196,ADFL,AUAL,2,chemical
197,RIH,RIAL,1,chemical
198,RIH,AIZL,1,chemical
199,AVHR,DVA,1,chemical
200,AVHR,SMBDL,1,chemical
201,SDQR,DVA,2,chemical
202,SDQR,AVBR,2,chemical
